date,time,product,temperature,vibration,information
2022-06-27,13:50:40,-,-,-,-
2022-06-27,13:50:47,0,26.74,0.07,-
2022-06-27,13:50:51,0,26.72,0.06,-
2022-06-27,13:50:55,0,26.73,0.08,-
2022-06-27,13:50:59,0,26.76,0.07,-
2022-06-27,13:51:03,0,26.76,0.05,-
2022-06-27,13:51:07,0,26.77,0.02,-
2022-06-27,13:51:10,0,26.77,0.03,-
2022-06-27,13:51:14,0,26.77,0.07,-
2022-06-27,13:51:18,0,26.77,0.06,-
2022-06-27,13:51:22,0,26.74,0.08,-
2022-06-27,13:51:26,0,26.77,0.04,-
2022-06-27,13:51:30,0,26.77,0.07,-
2022-06-27,13:51:34,0,26.74,0.05,-
2022-06-27,13:51:38,0,26.74,0.03,-
2022-06-27,13:51:41,0,26.74,0.04,-
2022-06-27,13:51:45,0,26.76,0.04,-
2022-06-27,13:51:49,0,26.77,0.02,-
2022-06-27,13:51:53,0,26.77,0.0,-
2022-06-27,13:51:56,0,26.76,0.05,-
2022-06-27,13:52:00,0,26.77,0.02,-
2022-06-27,13:52:04,0,26.77,0.05,-
2022-06-27,13:52:07,0,26.79,0.05,-
2022-06-27,13:52:11,0,26.74,0.03,-
2022-06-27,13:52:15,0,26.77,0.05,-
2022-06-27,13:52:19,0,26.72,0.03,-
2022-06-27,13:52:25,0,26.77,0.01,-
2022-06-27,13:52:32,0,26.89,0.06,-
2022-06-27,13:54:55,2,26.7,0.1,-
2022-06-27,13:55:02,2,26.68,0.01,-
2022-06-27,13:55:10,2,26.84,0.05,-
